fingerprint,rec_id,asof,strategy_version,universe,horizon_d,symbol,weight,buy_price,mature_date,exit_price,actual_ret,holding_days,holding_months,rank,universe_n,hit_top25,regime,scored,source
REC-20210701-0000,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,ABBOTINDIA,0.1372,16736.3,2021-10-01,22031.2,31.64,63,3.0,25.0,218.0,1.0,Strong,1,historical
REC-20210701-0001,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.1167,1708.2,2021-10-01,1687.8,-1.19,63,3.0,168.0,218.0,0.0,Strong,1,historical
REC-20210701-0002,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,BRITANNIA,0.0851,3595.8,2021-10-01,3921.1,9.05,63,3.0,110.0,218.0,0.0,Strong,1,historical
REC-20210701-0003,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,BAJAJHLDNG,0.0686,3617.75,2021-10-01,4737.4,30.95,63,3.0,26.0,218.0,1.0,Strong,1,historical
REC-20210701-0004,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,TCS,0.0433,3341.5,2021-10-01,3730.2,11.63,63,3.0,91.0,218.0,0.0,Strong,1,historical
REC-20210701-0005,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,INFY,0.042,1560.4,2021-10-01,1665.15,6.71,63,3.0,127.0,218.0,0.0,Strong,1,historical
REC-20210701-0006,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,PIDILITIND,0.0413,1084.58,2021-10-01,1208.63,11.44,63,3.0,94.0,218.0,0.0,Strong,1,historical
REC-20210701-0007,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,HDFCLIFE,0.0712,685.75,2021-10-01,729.45,6.37,63,3.0,131.0,218.0,0.0,Strong,1,historical
REC-20210701-0008,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,ATUL,0.0793,8952.2,2021-10-01,9740.8,8.81,63,3.0,111.0,218.0,0.0,Strong,1,historical
REC-20210701-0009,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,BATAINDIA,0.04,1596.85,2021-10-01,1834.7,14.89,63,3.0,77.0,218.0,0.0,Strong,1,historical
REC-20210701-0010,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,EXIDEIND,0.041,181.9,2021-10-01,178.85,-1.68,63,3.0,171.0,218.0,0.0,Strong,1,historical
REC-20210701-0011,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,ALKEM,0.067,3219.5,2021-10-01,3990.05,23.93,63,3.0,46.0,218.0,1.0,Strong,1,historical
REC-20210701-0012,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,SUPREMEIND,0.0724,2174.65,2021-10-01,2321.6,6.76,63,3.0,126.0,218.0,0.0,Strong,1,historical
REC-20210701-0013,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,BHARTIARTL,0.0341,522.65,2021-10-01,675.9,29.32,63,3.0,32.0,218.0,1.0,Strong,1,historical
REC-20210701-0014,2021-07-01_63,2021-07-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,AIAENG,0.0608,2114.0,2021-10-01,1928.9,-8.76,63,3.0,199.0,218.0,0.0,Strong,1,historical
REC-20211001-0015,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,INFY,0.0649,1665.15,2022-01-03,1898.45,14.01,63,3.0,33.0,218.0,1.0,Neutral,1,historical
REC-20211001-0016,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,BRITANNIA,0.0944,3921.1,2022-01-03,3617.55,-7.74,63,3.0,169.0,218.0,0.0,Neutral,1,historical
REC-20211001-0017,2021-10-01_63,2021-10-01,AEGIS Core v2.2 (2026-06-22),nifty200,63,COLPAL,0.0891,1687.8,2022-01-03,1463.8,-13.27,63,3.0,201.0,218.0,0.0,Neutral,1,historical
