Generated,Stock,Sector,Strength,Score /100,Current Price,Buy Range,Hist Target,Expected Range (hist),Prob +ve,Rec Confidence %,Recommended Holding,Review Date,Valid Until,Allocation Rs,Shares,Weight %,Why
2026-06-25,ABBOTINDIA,Pharma,STRONG BUY,65,25570.0,24850 - 26290,Insufficient evidence (<5 cases),—,—,72,2 months (2M),2026-08-23,2026-06-30,25570,1,11.3,"Low-risk Pharma holding (low vol) • below 200-dma (-8.6%) • sector strength 65/100 • regime cautious (partial deploy) • 2 similar past recs: 100% positive, median +24.6%"
2026-06-25,LUPIN,Pharma,STRONG BUY,71,2357.8,2298 - 2418,No analogues yet,—,—,72,2 months (2M),2026-08-23,2026-06-30,33009,14,11.0,Low-risk Pharma holding (low vol) • above 200-dma (+9.3%) • sector strength 65/100 • regime cautious (partial deploy) • no historical analogue yet (<3 obs)
2026-06-25,APOLLOHOSP,Healthcare,STRONG BUY,80,8457.0,8242 - 8672,Insufficient evidence (<5 cases),—,—,79,2 months (2M),2026-08-23,2026-06-30,25371,3,10.9,"Low-risk Healthcare holding (low vol) • above 200-dma (+11.2%) • outperforming Nifty • sector strength 94/100 • regime cautious (partial deploy) • 4 similar past recs: 75% positive, median +5.9%"
2026-06-25,BHARTIARTL,Telecom,STRONG BUY,70,1901.6,1851 - 1952,2139,-3% to +15%,69%,86,2 months (2M),2026-08-23,2026-06-30,30426,16,10.2,"Low-risk Telecom holding (low vol) • below 200-dma (-2.6%) • sector strength 59/100 • regime cautious (partial deploy) • 13 similar past recs: 69% positive, median +12.5%"
2026-06-25,BRITANNIA,FMCG,WATCH,51,5241.0,5103 - 5379,Insufficient evidence (<5 cases),—,—,66,2 months (2M),2026-08-23,2026-06-30,26205,5,10.0,"Low-risk FMCG holding (low vol) • below 200-dma (-9.6%) • sector strength 29/100 • regime cautious (partial deploy) • 3 similar past recs: 33% positive, median -7.7% • HELD FOR DIVERSIFICATION despite weak historical analogue — sized by risk, not conviction"
2026-06-25,MARICO,FMCG,STRONG BUY,72,821.0,801 - 841,Insufficient evidence (<5 cases),—,—,75,2 months (2M),2026-08-23,2026-06-30,27095,33,9.2,"Low-risk FMCG holding (low vol) • above 200-dma (+8.5%) • sector strength 29/100 • regime cautious (partial deploy) • 2 similar past recs: 100% positive, median +3.3%"
2026-06-25,RELIANCE,Energy,BUY,55,1309.5,1268 - 1351,1366,-1% to +7%,62%,73,2 months (2M),2026-08-23,2026-06-30,22262,17,7.7,"Low-risk Energy holding (low vol) • below 200-dma (-7.8%) • sector strength 18/100 • regime cautious (partial deploy) • 8 similar past recs: 62% positive, median +4.3%"
2026-06-25,ICICIGI,Financials,BUY,59,1833.7,1782 - 1885,Insufficient evidence (<5 cases),—,—,70,2 months (2M),2026-08-23,2026-06-30,20171,11,7.1,"Low-risk Financials holding (low vol) • below 200-dma (-2.5%) • sector strength 35/100 • regime cautious (partial deploy) • 2 similar past recs: 50% positive, median +7.7%"
2026-06-25,ICICIBANK,Financials,BUY,62,1338.3,1300 - 1377,1409,+2% to +8%,75%,76,2 months (2M),2026-08-23,2026-06-30,17398,13,5.9,"Low-risk Financials holding (low vol) • below 200-dma (-0.6%) • sector strength 35/100 • regime cautious (partial deploy) • 8 similar past recs: 75% positive, median +5.3%"
2026-06-25,NTPC,Power,STRONG BUY,80,364.6,354 - 375,Insufficient evidence (<5 cases),—,—,79,2 months (2M),2026-08-23,2026-06-30,17136,47,5.8,"Low-risk Power holding (low vol) • above 200-dma (+2.7%) • sector strength 88/100 • regime cautious (partial deploy) • 4 similar past recs: 100% positive, median +11.5%"
2026-06-25,POWERGRID,Power,STRONG BUY,72,291.9,283 - 301,Insufficient evidence (<5 cases),—,—,75,2 months (2M),2026-08-23,2026-06-30,16349,56,5.5,"Low-risk Power holding (low vol) • above 200-dma (+2.1%) • sector strength 88/100 • regime cautious (partial deploy) • 2 similar past recs: 50% positive, median +12.3%"
2026-06-25,SHREECEM,Cement,WATCH,48,25035.0,24271 - 25799,23115,-11% to +3%,40%,70,2 months (2M),2026-08-23,2026-06-30,0,0,5.4,"Low-risk Cement holding (low vol) • below 200-dma (-5.5%) • sector strength 12/100 • regime cautious (partial deploy) • 5 similar past recs: 40% positive, median -7.7% • HELD FOR DIVERSIFICATION despite weak historical analogue — sized by risk, not conviction"
