symbol,name,price,avg_dollar_vol_musd,days
AAPL,Apple Inc. - Common Stock,283.78,15095,63
AMD,"Advanced Micro Devices, Inc. - Common St",521.58,14940,63
AMZN,"Amazon.com, Inc. - Common Stock",232.69,12436,63
AVGO,Broadcom Inc. - Common Stock,365.02,10563,63
AMAT,"Applied Materials, Inc. - Common Stock",626.84,3994,63
ASML,ASML Holding N.V. - New York Registry Sh,1794.62,3030,63
BE,Bloom Energy Corporation Class A Common ,252.02,2942,63
APP,Applovin Corporation - Class A Common St,477.08,2360,63
AAOI,"Applied Optoelectronics, Inc. - Common S",135.69,2114,63
ASTS,"AST SpaceMobile, Inc. - Class A Common S",71.45,1999,63
BAC,Bank of America Corporation Common Stock,57.88,1909,63
ADI,"Analog Devices, Inc. - Common Stock",386.91,1776,63
ALAB,"Astera Labs, Inc. - Common Stock",391.74,1657,63
ABBV,AbbVie Inc. Common Stock,253.35,1529,63
ANET,"Arista Networks, Inc. Common Stock",157.6,1473,63
BA,Boeing Company (The) Common Stock,217.25,1473,63
ADBE,Adobe Inc. - Common Stock,202.73,1451,63
APH,Amphenol Corporation Common Stock,163.72,1393,63
ABT,Abbott Laboratories Common Stock,94.12,1194,63
AAL,"American Airlines Group, Inc. - Common S",17.87,1182,63
ACN,Accenture plc Class A Ordinary Shares (I,128.98,1174,63
AZO,"AutoZone, Inc. Common Stock",3128.7,1136,63
AXP,American Express Company Common Stock,340.36,1007,63
AXTI,AXT Inc - Common Stock,70.15,1006,63
AMGN,Amgen Inc. - Common Stock,358.33,949,63
APLD,Applied Digital Corporation - Common Sto,39.16,898,63
AKAM,"Akamai Technologies, Inc. - Common Stock",113.29,697,63
ADP,"Automatic Data Processing, Inc. - Common",223.55,635,63
AMT,American Tower Corporation (REIT) Common,175.59,571,63
ADSK,"Autodesk, Inc. - Common Stock",196.26,570,63
AEP,"American Electric Power Company, Inc. - ",138.69,568,63
ABNB,"Airbnb, Inc. - Class A Common Stock",145.56,516,63
B,Barrick Mining Corporation Common Shares,37.29,510,63
AON,Aon plc Class A Ordinary Shares (Ireland,328.69,507,63
APO,"Apollo Global Management, Inc. (New) Com",118.29,501,63
AXON,"Axon Enterprise, Inc. - Common Stock",464.83,494,63
BDX,"Becton, Dickinson and Company Common Sto",155.92,456,63
AEM,Agnico Eagle Mines Limited Common Stock,157.23,453,63
ALB,Albemarle Corporation Common Stock,133.7,396,63
AJG,Arthur J. Gallagher & Co. Common Stock,226.01,395,63
AMKR,"Amkor Technology, Inc. - Common Stock",78.72,387,63
AZN,AstraZeneca PLC Ordinary Shares,188.41,370,63
ALL,Allstate Corporation (The) Common Stock,239.61,360,63
ARES,Ares Management Corporation Class A Comm,109.13,356,63
APD,"Air Products and Chemicals, Inc. Common ",277.79,351,63
ALNY,"Alnylam Pharmaceuticals, Inc. - Common S",291.37,337,63
AA,Alcoa Corporation Common Stock ,54.1,334,63
AFRM,"Affirm Holdings, Inc. - Class A Common S",79.49,331,63
AIG,"American International Group, Inc. New C",75.57,328,63
ATI,ATI Inc. Common Stock,197.4,320,63
AMP,"Ameriprise Financial, Inc. Common Stock",452.81,315,63
AEIS,"Advanced Energy Industries, Inc. - Commo",348.11,313,63
AFL,AFLAC Incorporated Common Stock,120.15,288,63
AME,"AMETEK, Inc.",237.52,287,63
ADM,Archer-Daniels-Midland Company Common St,76.79,285,63
