Stock,Sector,Price,Weight %,Vol %,asof,regime,deploy,mode
ADC,Other,77.03,11.5,18,2026-06-26,Strong,100%,PAPER
MCD,Consumer Disc,269.76,11.5,19,2026-06-26,Strong,100%,PAPER
ATO,Other,175.17,10.9,16,2026-06-26,Strong,100%,PAPER
COST,Staples,952.54,8.5,21,2026-06-26,Strong,100%,PAPER
KO,Staples,82.63,8.4,19,2026-06-26,Strong,100%,PAPER
JNJ,Healthcare,254.66,8.2,19,2026-06-26,Strong,100%,PAPER
PFE,Healthcare,24.29,8.0,22,2026-06-26,Strong,100%,PAPER
AAPL,Tech,283.78,7.6,26,2026-06-26,Strong,100%,PAPER
BAC,Financials,57.88,6.9,24,2026-06-26,Strong,100%,PAPER
CVX,Energy,171.06,6.7,26,2026-06-26,Strong,100%,PAPER
V,Financials,336.23,6.6,24,2026-06-26,Strong,100%,PAPER
UNP,Industrials,268.35,5.2,26,2026-06-26,Strong,100%,PAPER
