stop_pct,asof,symbol,reason,exit_ret_pct,hold_to_mature_pct,hold_minus_exit_pp,post_exit_max_recovery_pct,false_exit
0.05,2021-07-01,ABBOTINDIA,DD -8.7% at bar 23,7.103720655102989,31.63721969610966,24.53349904100667,22.90629951130252,True
0.05,2021-07-01,COLPAL,DD -5.3% at bar 19,-0.2224563868399458,-1.1942395504039394,-0.9717831635639935,1.824689040131422,False
0.05,2021-07-01,BRITANNIA,DD -5.3% at bar 19,-4.794482451749265,9.046665554257737,13.841148006007003,20.47087690599987,True
0.05,2021-07-01,BAJAJHLDNG,DD -5.6% at bar 61,32.91686821919702,30.94879414000414,-1.9680740791928812,0.0,False
0.05,2021-07-01,TCS,DD -5.2% at bar 20,-3.654047583420617,11.632500374083492,15.286547957504109,22.83500031061689,True
0.05,2021-07-01,INFY,DD -5.0% at bar 62,6.713022301973853,6.713022301973853,0.0,0.0,False
0.05,2021-07-01,HDFCLIFE,DD -5.1% at bar 14,-2.974845060153114,6.37258476121036,9.347429821363473,14.075298714962049,True
0.05,2021-07-01,ATUL,DD -5.5% at bar 28,-0.6221934273139644,8.809007841647846,9.43120126896181,10.72050806496938,True
0.05,2021-07-01,EXIDEIND,DD -6.0% at bar 19,-1.7866959868059373,-1.6767454645409627,0.10995052226497459,6.157290792051495,True
0.05,2021-07-01,SUPREMEIND,DD -5.4% at bar 18,-4.391511277676868,6.7574092382682185,11.148920515945086,12.283866002933896,True
0.05,2021-07-01,BHARTIARTL,DD -7.9% at bar 38,13.871615804075386,29.32172582033866,15.450110016263274,24.23758716290012,True
0.05,2021-07-01,AIAENG,DD -6.7% at bar 10,-3.183538315988645,-8.75591296121097,-5.572374645222325,4.622074559046285,False
0.05,2021-10-01,INFY,DD -5.6% at bar 14,2.5463171486052225,14.010749782301891,11.464432633696669,11.179760475535128,True
0.05,2021-10-01,BRITANNIA,DD -5.7% at bar 13,-5.893754303639283,-7.7414501032873355,-1.8476957996480525,1.4254742547425536,False
0.05,2021-10-01,COLPAL,DD -5.4% at bar 12,-5.5841924398625435,-13.27171465813485,-7.687522218272307,0.0,False
0.05,2021-10-01,TCS,DD -6.4% at bar 6,-2.073615355744998,2.3470591389201703,4.420674494665168,4.514283367781324,False
0.05,2021-10-01,HEROMOTOCO,DD -5.8% at bar 13,-3.6447269088291483,-13.039203637704311,-9.394476728875162,0.2459778073355956,False
0.05,2021-10-01,SJVN,DD -7.8% at bar 12,2.8169014084507067,8.978873239436622,6.161971830985915,5.993150684931514,True
0.05,2021-10-01,RATNAMANI,DD -5.1% at bar 19,-2.767840763162718,-12.059713813979087,-9.291873050816369,5.6979788212542015,True
0.05,2021-10-01,BAJAJ-AUTO,DD -5.4% at bar 15,-1.57945283704511,-14.937963972382288,-13.358511135337178,0.0712072262148089,False
0.05,2021-10-01,PIDILITIND,DD -7.8% at bar 13,-4.172492822451872,2.3456310036983945,6.5181238261502665,6.8036608530478215,True
0.05,2021-10-01,HDFCLIFE,DD -5.4% at bar 9,-3.5437658509836205,-10.823222976214963,-7.2794571252313425,2.4161455372370577,False
0.05,2021-10-01,TORNTPHARM,DD -5.8% at bar 12,-2.2073908639987536,5.5684680707403835,7.775858934739137,8.826380221472775,True
0.05,2021-10-01,ATUL,DD -5.6% at bar 11,-0.8664586070959227,-7.161629434953993,-6.295170827858071,1.9577689408061039,False
0.05,2021-10-01,RELIANCE,DD -7.2% at bar 19,0.5586689711761808,-4.748686254997457,-5.307355226173637,2.179725342453853,False
0.05,2021-10-01,SBILIFE,DD -5.2% at bar 5,-0.24399321781564415,0.028948347876443195,0.27294156569208733,0.37310339109526414,False
0.05,2021-10-01,NHPC,DD -9.0% at bar 12,6.8728522336769755,7.216494845360817,0.34364261168384136,9.0032154340836,True
0.05,2022-01-03,COLPAL,DD -5.2% at bar 17,-4.256045907910914,8.395955731657336,12.652001639568251,13.214413128790593,True
0.05,2022-01-03,PETRONET,DD -5.9% at bar 14,-4.4561243144424125,-8.775137111517376,-4.319012797074963,6.9361396795025065,True
0.05,2022-01-03,NESTLEIND,DD -5.0% at bar 12,-4.796219127960153,-8.409391198292509,-3.6131720703323555,1.2821470892805609,False
0.05,2022-01-03,HEROMOTOCO,DD -10.8% at bar 37,3.302915287087143,-5.828555277396427,-9.131470564483571,0.0,False
0.05,2022-01-03,HDFCBANK,DD -5.1% at bar 15,-2.079412500164519,5.830251503625805,7.909664003790324,11.339596521645623,True
0.05,2022-01-03,BAJAJ-AUTO,DD -5.2% at bar 13,4.354459735741975,16.252174178389428,11.897714442647452,11.401251535177481,True
0.05,2022-01-03,HDFCLIFE,DD -6.9% at bar 15,-3.0284396617986236,-12.428900845503462,-9.400461183704838,2.1163601775523233,False
0.05,2022-01-03,TCS,DD -6.2% at bar 15,-1.253356034313402,-0.07727064370374745,1.1760853906096547,2.289185389532866,False
0.05,2022-01-03,INFY,DD -6.0% at bar 13,-5.939055545313281,-1.9673944533698615,3.97166109194342,6.784454275634189,True
0.05,2022-01-03,ULTRACEMCO,DD -5.5% at bar 12,-3.345460194979216,-12.917697018345654,-9.572236823366438,0.6797937177684066,False
0.05,2022-01-03,PIDILITIND,DD -5.8% at bar 16,-0.5278985917314728,1.3621885559992812,1.8900871477307541,2.5194034702751056,False
0.05,2022-01-03,MGL,DD -8.4% at bar 15,-6.386986301369868,-5.4052511415525135,0.9817351598173545,3.7924516797756214,False
0.05,2022-01-03,LT,DD -5.5% at bar 14,-1.1935408378188532,-4.514132667654781,-3.3205918298359283,4.7686720353702805,False
0.05,2022-01-03,AIAENG,DD -5.2% at bar 23,0.9484036104001029,-8.295837262562308,-9.244240872962411,1.7001628099394317,False
0.05,2022-01-03,SHREECEM,DD -5.3% at bar 13,-8.111599638864627,-7.668621593252934,0.4429780456116932,1.8073107216461937,False
0.05,2022-04-05,NESTLEIND,DD -5.2% at bar 19,-5.701540237027831,2.028496604376591,7.730036841404422,8.197415801736941,True
0.05,2022-04-05,COLPAL,DD -5.6% at bar 8,-3.80979391189261,-1.106069200226883,2.7037247116657266,8.406224406224405,True
0.05,2022-04-05,MRF,DD -5.7% at bar 21,1.555581793494303,8.079284491410352,6.523702697916049,12.846243278593228,True
0.05,2022-04-05,TCS,DD -7.5% at bar 7,-8.988675684177416,-14.523697179406525,-5.53502149522911,4.514818975200896,False
0.05,2022-04-05,AIAENG,DD -5.0% at bar 21,9.134445880832063,38.09789634504643,28.963450464214368,27.562256023690956,True
0.05,2022-04-05,IRFC,DD -6.0% at bar 24,-3.8374717832957015,-9.932279909706544,-6.094808126410843,1.1737089201877993,False
0.05,2022-04-05,ICICIGI,DD -5.9% at bar 11,-3.4101416577282917,-8.847135407034799,-5.436993749306507,2.4315527474631393,False
0.05,2022-04-05,DRREDDY,DD -5.4% at bar 11,-4.952770271830756,1.3880228180789373,6.340793089909694,6.773256873488931,True
0.05,2022-04-05,SUNPHARMA,DD -7.0% at bar 19,-4.92950166828114,-9.83747712840383,-4.90797546012269,4.386957998415042,False
0.05,2022-04-05,INFY,DD -5.1% at bar 4,-6.375261941862332,-19.8511632905271,-13.475901348664769,0.350081781399747,False
0.05,2022-04-05,BAJAJ-AUTO,DD -7.2% at bar 17,-8.210620258813023,-0.9620180066671822,7.248602252145841,11.212788469787526,True
0.05,2022-04-05,PETRONET,DD -5.2% at bar 35,9.994989979959929,10.69639278557114,0.7014028056112114,4.349806422227265,False
0.05,2022-04-05,BHARTIARTL,DD -5.9% at bar 7,-5.622228019827813,-9.476911035742235,-3.8546830159144223,4.533517622667582,False
0.05,2022-04-05,LT,DD -5.7% at bar 5,-4.0984722638272375,-15.244682879006556,-11.146210615179317,0.0,False
0.05,2022-04-05,COROMANDEL,DD -7.8% at bar 33,11.613372974940846,18.83987622110309,7.226503246162244,6.773579777113348,True
0.05,2022-07-06,IRFC,DD -6.5% at bar 50,8.52130325814536,7.017543859649135,-1.5037593984962259,0.0,False
0.05,2022-07-06,COLPAL,DD -6.9% at bar 49,0.6850842812987923,0.7679316827581782,0.08284740145938596,3.133109690486746,False
0.05,2022-07-06,NESTLEIND,DD -7.6% at bar 49,2.0479857304446103,5.069390063516912,3.0214043330723017,2.960768222366683,False
0.05,2022-07-06,ALKEM,DD -5.3% at bar 14,1.8745634411396765,3.9716703757248903,2.097106934585214,5.867814717372233,True
0.05,2022-07-06,SJVN,DD -5.2% at bar 59,16.97416974169741,20.664206642066425,3.690036900369016,4.416403785488976,False
0.05,2022-07-06,RELAXO,DD -6.8% at bar 55,4.097984179637661,3.1589691247767333,-0.9390150548609273,0.14217080105893842,False
0.05,2022-07-06,MRF,DD -6.1% at bar 24,12.659394621344747,13.026592853767994,0.367198232423247,12.566923674587006,True
0.05,2022-07-06,PFC,DD -5.2% at bar 40,9.28705440900563,-1.5478424015009467,-10.834896810506578,1.7596566523605084,False
0.05,2022-07-06,SUNPHARMA,DD -6.6% at bar 31,6.052286021248648,14.020532410170697,7.968246388922049,7.513507429086008,True
0.05,2022-07-06,TCS,DD -5.3% at bar 3,-5.399064632369859,-6.006286897186228,-0.607222264816369,10.950821797905807,True
0.05,2022-07-06,BHARTIARTL,DD -7.4% at bar 5,-7.536566035016942,14.287772894300739,21.82433892931768,26.034442453050733,True
0.05,2022-07-06,SUPREMEIND,DD -6.4% at bar 14,3.6400575637010073,13.708061739891072,10.068004176190065,16.38759563287866,True
0.05,2022-07-06,CUMMINSIND,DD -5.0% at bar 34,9.299270734248323,12.220863341939584,2.9215926076912613,3.9701616245337856,False
0.05,2022-07-06,POWERGRID,DD -7.4% at bar 53,-3.756969082615311,-0.5005068423720173,3.2564622402432937,4.765979856493985,False
0.05,2022-07-06,EXIDEIND,DD -6.1% at bar 31,10.225669957686883,10.860366713681223,0.6346967559943408,12.252079334612898,True
0.05,2022-10-07,IRFC,DD -7.1% at bar 36,60.187353629976585,53.161592505854806,-7.025761124121779,4.239766081871332,False
0.05,2022-10-07,NESTLEIND,DD -5.3% at bar 29,1.514414367786346,2.921173852285081,1.4067594844987352,4.4550719908634795,False
0.05,2022-10-07,PFC,DD -5.9% at bar 51,30.77656026679372,49.737970462124835,18.961410195331116,14.499089253187613,True
0.05,2022-10-07,ITC,DD -5.4% at bar 28,0.92576777234994,0.28353773101492297,-0.642230041335017,2.4911995667479037,False
0.05,2022-10-07,RELAXO,DD -7.8% at bar 18,-7.291975858316023,-11.308993766696355,-4.017017908380333,2.033084311632871,False
0.05,2022-10-07,ALKEM,DD -5.5% at bar 25,-3.0059681904821507,-5.279192575696038,-2.273224385213887,1.0985470828903665,False
0.05,2022-10-07,IOC,DD -7.5% at bar 53,10.303928836174947,18.680504077094135,8.376575240919188,7.594086021505375,True
0.05,2022-10-07,SJVN,DD -5.6% at bar 9,-3.363914373088689,5.3516819571865435,8.715596330275233,30.063291139240512,True
0.05,2022-10-07,RVNL,DD -7.1% at bar 9,0.27777777777778173,101.25000000000001,100.97222222222223,121.88365650969529,True
0.05,2022-10-07,DRREDDY,DD -5.2% at bar 29,-0.3233066386391465,-2.3968103458124386,-2.073503707173292,3.3902578796561667,False
0.05,2022-10-07,BHARTIARTL,DD -5.6% at bar 56,3.4863195057369785,0.36565376371201325,-3.1206657420249653,0.0,False
0.05,2022-10-07,PIDILITIND,DD -5.5% at bar 13,-3.83234432509577,-5.2692856606324545,-1.4369413355366847,8.273190239635086,True
0.05,2022-10-07,BAJAJ-AUTO,DD -5.9% at bar 48,0.7270608150296185,1.0739409748719961,0.34688015984237763,0.3443763344582962,False
0.05,2022-10-07,ATUL,DD -5.2% at bar 10,-5.847490000449406,-12.03709945620421,-6.189609455754804,6.054928728691689,True
0.05,2022-10-07,HCLTECH,DD -9.6% at bar 43,7.382270021927539,7.841704082698121,0.45943406077058224,2.7032283158304082,False
0.05,2023-01-06,PETRONET,DD -5.6% at bar 16,-0.6883891693437356,6.218448829738404,6.906837999082139,9.912199630314223,True
0.05,2023-01-06,TORNTPHARM,DD -5.9% at bar 16,-0.691884901390239,2.6608470740381565,3.3527319754283953,3.376090636801665,False
0.05,2023-01-06,BAJAJ-AUTO,DD -7.5% at bar 35,0.5202827922300726,17.674514379847622,17.15423158761755,17.0654430241451,True
0.05,2023-01-06,ALKEM,DD -5.9% at bar 37,3.2543256304946673,10.2017253039075,6.947399673412832,8.907348242811498,True
0.05,2023-01-06,UBL,DD -6.3% at bar 10,-4.621278392808658,-16.51835540406021,-11.89707701125155,0.8887061576899891,False
0.05,2023-01-06,PIDILITIND,DD -5.9% at bar 10,-4.468144154145037,-6.918288863339016,-2.450144709193979,0.0,False
0.05,2023-01-06,IOC,DD -6.0% at bar 18,-1.9987507807620166,-2.5608994378513397,-0.562148657089323,2.7405991077119163,False
0.05,2023-01-06,ICICIBANK,DD -6.4% at bar 14,-5.355706240661995,2.3043328353062815,7.660039075968276,8.093503339404972,True
0.05,2023-01-06,BHARTIARTL,DD -6.6% at bar 3,-4.91206030150754,-3.128140703517585,1.783919597989955,4.756242568370994,False
0.05,2023-01-06,HDFCBANK,DD -5.4% at bar 16,2.0797792272955253,5.67611640742599,3.596337180130465,3.523065201897335,False
0.05,2023-01-06,LT,DD -7.0% at bar 15,1.8139991852579571,9.67865615489683,7.864656969638872,8.722462813029551,True
0.05,2023-01-06,TCS,DD -6.4% at bar 35,3.1542401644065863,0.9372421416449972,-2.2169980227615893,2.3408847367070607,False
0.05,2023-01-06,RELAXO,DD -6.4% at bar 10,-8.874386434627393,-9.1979027219991,-0.32351628737170657,4.79280161596376,False
0.05,2023-04-12,COLPAL,DD -5.3% at bar 27,2.399383291041654,16.256062698744095,13.85667940770244,13.53199498117943,True
0.05,2023-04-12,OFSS,DD -7.3% at bar 17,5.436981132075469,16.00905660377359,10.57207547169812,12.379029949035104,True
0.05,2023-04-12,SUNPHARMA,DD -5.2% at bar 13,-4.199862299596739,5.734238221697645,9.934100521294383,10.574948665297734,True
0.05,2023-04-12,WIPRO,DD -6.6% at bar 45,2.160361134995691,6.072656921754074,3.912295786758383,4.155707522356655,False
0.05,2023-04-12,ICICIGI,DD -6.3% at bar 6,-1.9663565109776615,24.306733281386084,26.273089792363745,27.047877314381896,True
0.05,2023-04-12,KOTAKBANK,DD -6.3% at bar 39,1.5156855833627003,1.4072286543206523,-0.10845692904204807,0.3979700854700896,False
0.05,2023-04-12,GRASIM,DD -5.1% at bar 30,-0.24143857638928795,2.4658303031720274,2.7072688795613153,4.692783263500244,False
0.05,2023-07-13,COLPAL,DD -5.4% at bar 27,7.3188926341382565,12.817041498590928,5.498148864452672,6.474783101202286,True
0.05,2023-07-13,ICICIBANK,DD -5.0% at bar 24,-0.7893361212754788,-0.5436487192890795,0.24568740198639927,4.584013910111184,False
0.05,2023-07-13,SUNPHARMA,DD -5.0% at bar 30,3.7209302325581395,6.539534883720926,2.818604651162787,3.914798206278025,False
0.05,2023-07-13,PIDILITIND,DD -6.2% at bar 20,-2.8255059182894233,-6.068728522336772,-3.243222604047349,1.526915520628691,False
0.05,2023-07-13,BATAINDIA,DD -6.8% at bar 20,-0.8468957203134391,-2.05846895720314,-1.2115732368897008,5.559439496641239,True
0.05,2023-07-13,MARUTI,DD -5.2% at bar 22,-2.7773756591872645,10.92493020370178,13.702305862889045,14.093742023313194,True
0.05,2023-07-13,WIPRO,DD -5.1% at bar 49,4.899179248150784,4.129091093322528,-0.7700881548282554,1.7049021975368284,False
0.05,2023-07-13,NESTLEIND,DD -5.6% at bar 21,-4.036668302601131,3.214611231858661,7.251279534459792,7.556302398217318,True
0.05,2023-07-13,NTPC,DD -5.4% at bar 21,13.143919277748273,28.54487519915029,15.400955921402018,15.25463506219198,True
0.05,2023-07-13,ASIANPAINT,DD -5.1% at bar 9,-0.5,-7.388235294117642,-6.888235294117642,0.32515518770321883,False
0.05,2023-10-13,ICICIBANK,DD -5.3% at bar 54,3.44265741616735,6.154735624934308,2.7120782087669584,2.621817997053011,False
0.05,2023-10-13,NESTLEIND,DD -5.3% at bar 59,9.453010902421623,8.1564378629895,-1.296573039432122,0.0,False
0.05,2023-10-13,BHARTIARTL,DD -5.1% at bar 8,-4.150073359882627,15.531335149863763,19.68140850974639,20.533566586485907,True
0.05,2023-10-13,ASIANPAINT,DD -6.0% at bar 8,-6.149961890243905,3.972942073170729,10.122903963414632,15.203965957734788,True
0.05,2023-10-13,TCS,DD -5.1% at bar 7,-6.555862049652042,9.324110505901965,15.879972555554007,16.994081066906432,True
0.05,2023-10-13,LICI,DD -5.9% at bar 7,-4.6733684177354755,34.686288721520185,39.35965713925566,41.94380165289255,True
0.05,2023-10-13,SUNPHARMA,DD -5.6% at bar 11,-2.5408189993887986,16.070025320876624,18.61084432026542,19.096040136176295,True
0.05,2023-10-13,TITAN,DD -6.3% at bar 8,-4.965359725923112,14.468214693566804,19.433574419489915,20.448937738327942,True
0.05,2023-10-13,PIDILITIND,DD -5.4% at bar 7,-6.693332682942687,11.9590579091567,18.652390592099387,20.774592663588052,True
0.05,2023-10-13,RELIANCE,DD -5.5% at bar 8,-3.5542502021878857,18.684714595837058,22.238964798024945,23.058522376202674,True
0.05,2023-10-13,ULTRACEMCO,DD -5.4% at bar 58,18.28294897837257,18.94551320348906,0.6625642251164905,0.560151933004005,False
0.05,2023-10-13,MARUTI,DD -5.2% at bar 12,-3.951974122702751,-5.972006655760166,-2.0200325330574147,4.059746108156359,False
0.05,2023-10-13,ABBOTINDIA,DD -5.5% at bar 22,4.4209643906604805,17.49692365969065,13.075959269030172,12.522350607786281,True
0.05,2024-01-15,HINDUNILVR,DD -7.7% at bar 6,-5.112311518731531,-13.928182807399335,-8.815871288667804,1.6341408473778074,False
0.05,2024-01-15,SUNPHARMA,DD -5.5% at bar 60,15.849851431150567,14.070786474592861,-1.779064956557706,0.0,False
0.05,2024-01-15,HDFCBANK,DD -8.4% at bar 2,-11.15734098517455,-10.646819703491149,0.5105212816834008,4.2660278839425025,False
0.05,2024-01-15,VINATIORGA,DD -5.8% at bar 18,-6.312060855931701,-4.869055223273905,1.4430056326577967,6.1361100780959354,True
0.05,2024-01-15,RELIANCE,DD -5.0% at bar 42,1.7286766657341788,5.035398420520311,3.306721754786132,5.261487910987639,True
0.05,2024-01-15,TITAN,DD -6.2% at bar 12,-3.896138446599354,-6.218657302100377,-2.322518855501023,5.4908094341711955,True
0.05,2024-01-15,BRITANNIA,DD -6.2% at bar 17,-3.9759722638029174,-9.31654224651608,-5.340569982713163,0.7874886855073759,False
