symbol,market_cap
A,38145257667.10889
AA,14196615711.378098
AAL,11822259323.875
AAOI,10506586501.239807
AAPL,4135518936493.408
ABBV,447298935257.4757
ABNB,88675572718.90994
ABT,163286278905.7627
ACGL,34282107334.187164
ACN,78551952183.2834
ADBE,82946324272.15576
ADI,189471982932.89062
ADM,37125110686.48416
ADP,90366931747.86255
ADSK,42357848931.982834
AEE,32060291293.351562
AEHR,2752631504.6124573
AEIS,13645234805.167938
AEM,76435539493.0179
AEP,75059287503.92322
AER,23279052230.576782
AFL,61190165780.19946
AFRM,26693926245.505257
AGX,10541772952.783386
AIG,39990805836.98598
AJG,57972538750.0
AKAM,16518695341.933067
ALAB,67630715993.36359
ALB,15353912501.616394
ALGN,12408556290.609879
ALK,5803221378.2725525
ALL,62108977999.01871
ALNY,39176593317.51471
AMAT,515914827922.1124
AMD,817485318384.8221
AME,54368098509.09323
AMGN,195622656382.27496
AMKR,18859380305.095932
AMP,40882495903.04114
AMT,80052075159.13219
AMZN,2629683044946.3643
ANET,197179639680.68207
AON,70459034171.52975
APA,11797068826.125
APD,61332939714.017944
APGE,9974999617.06749
APH,196855963965.7995
APLD,10422015436.16977
APO,66815495233.80399
APP,165698806057.3806
APTV,12460216855.795109
AR,10855104212.722778
ARES,24089868155.417267
ASTS,23145375567.074196
ATI,26645850871.75
ATO,29240180328.24887
AVAV,7196040941.765579
AVB,26938669154.454712
AVGO,1732448988932.3728
AWK,25699892131.876602
AXON,41268666827.94983
AXP,233453907009.55582
AXSM,12481051300.145966
AXTI,4262647473.657715
AZO,52215013837.72705
B,60832883260.417786
BA,170777816506.69843
BAC,413057071835.70056
BALL,16406109723.438046
BB,6760668382.153172
BBIO,13955113492.5
BBY,16172162285.511246
BDX,42707387137.45276
BE,76111521102.15515
