strategy,date,equity
top_5_ew,2022-02-01,100.3136
top_5_ew,2022-02-02,99.593
top_5_ew,2022-02-03,99.4437
top_5_ew,2022-02-04,99.9948
top_5_ew,2022-02-07,99.2587
top_5_ew,2022-02-08,98.3792
top_5_ew,2022-02-09,100.4109
top_5_ew,2022-02-10,100.0114
top_5_ew,2022-02-11,98.2767
top_5_ew,2022-02-14,96.0947
top_5_ew,2022-02-15,97.0901
top_5_ew,2022-02-16,96.0697
top_5_ew,2022-02-17,96.4061
top_5_ew,2022-02-18,96.4045
top_5_ew,2022-02-21,96.2062
top_5_ew,2022-02-22,95.9167
top_5_ew,2022-02-23,95.6347
top_5_ew,2022-02-24,91.6993
top_5_ew,2022-02-25,94.907
top_5_ew,2022-02-28,96.5576
top_5_ew,2022-03-02,98.448
top_5_ew,2022-03-03,99.1783
top_5_ew,2022-03-04,96.9676
top_5_ew,2022-03-07,97.265
top_5_ew,2022-03-08,96.1235
top_5_ew,2022-03-09,96.5163
top_5_ew,2022-03-10,97.8444
top_5_ew,2022-03-11,100.1415
top_5_ew,2022-03-14,100.2924
top_5_ew,2022-03-15,97.8846
top_5_ew,2022-03-16,99.4941
top_5_ew,2022-03-17,101.7319
top_5_ew,2022-03-21,102.6299
top_5_ew,2022-03-22,104.188
top_5_ew,2022-03-23,104.7937
top_5_ew,2022-03-24,106.3975
top_5_ew,2022-03-25,105.0074
top_5_ew,2022-03-28,106.709
top_5_ew,2022-03-29,107.6172
top_5_ew,2022-03-30,106.1079
top_5_ew,2022-03-31,106.1885
top_5_ew,2022-04-01,106.4973
top_5_ew,2022-04-04,107.7127
top_5_ew,2022-04-05,108.4394
top_5_ew,2022-04-06,108.3865
top_5_ew,2022-04-07,107.2181
top_5_ew,2022-04-08,109.8591
top_5_ew,2022-04-11,109.2281
top_5_ew,2022-04-12,107.6004
top_5_ew,2022-04-13,107.6377
top_5_ew,2022-04-18,107.2484
top_5_ew,2022-04-19,104.825
top_5_ew,2022-04-20,107.0441
top_5_ew,2022-04-21,105.9157
top_5_ew,2022-04-22,104.6731
top_5_ew,2022-04-25,101.5884
top_5_ew,2022-04-26,104.0863
top_5_ew,2022-04-27,104.5086
top_5_ew,2022-04-28,105.689
top_5_ew,2022-04-29,104.8982
top_5_ew,2022-05-02,107.1542
top_5_ew,2022-05-04,104.028
top_5_ew,2022-05-05,105.9437
top_5_ew,2022-05-06,104.1827
top_5_ew,2022-05-09,102.1625
top_5_ew,2022-05-10,99.4361
top_5_ew,2022-05-11,99.3096
top_5_ew,2022-05-12,96.0796
top_5_ew,2022-05-13,95.8638
top_5_ew,2022-05-16,98.1463
top_5_ew,2022-05-17,101.931
top_5_ew,2022-05-18,102.2638
top_5_ew,2022-05-19,99.3287
top_5_ew,2022-05-20,101.1856
top_5_ew,2022-05-23,99.8604
top_5_ew,2022-05-24,99.5791
top_5_ew,2022-05-25,96.0411
top_5_ew,2022-05-26,97.9708
top_5_ew,2022-05-27,99.3097
top_5_ew,2022-05-30,99.8718
top_5_ew,2022-05-31,95.8062
top_5_ew,2022-06-01,96.6649
top_5_ew,2022-06-02,96.7789
top_5_ew,2022-06-03,95.7869
top_5_ew,2022-06-06,95.6477
top_5_ew,2022-06-07,95.8511
top_5_ew,2022-06-08,95.1387
top_5_ew,2022-06-09,95.1141
top_5_ew,2022-06-10,95.1345
top_5_ew,2022-06-13,93.0885
top_5_ew,2022-06-14,94.6234
top_5_ew,2022-06-15,93.6102
top_5_ew,2022-06-16,91.2038
top_5_ew,2022-06-17,92.0223
top_5_ew,2022-06-20,89.2568
top_5_ew,2022-06-21,91.4789
top_5_ew,2022-06-22,90.8287
top_5_ew,2022-06-23,91.7251
top_5_ew,2022-06-24,92.7792
top_5_ew,2022-06-27,93.7565
top_5_ew,2022-06-28,94.9317
top_5_ew,2022-06-29,96.0463
top_5_ew,2022-06-30,95.1014
top_5_ew,2022-07-01,95.6997
top_5_ew,2022-07-04,94.7366
top_5_ew,2022-07-05,93.9418
top_5_ew,2022-07-06,95.9324
top_5_ew,2022-07-07,97.388
top_5_ew,2022-07-08,97.6783
top_5_ew,2022-07-11,99.5326
top_5_ew,2022-07-12,98.3308
top_5_ew,2022-07-13,98.8283
top_5_ew,2022-07-14,97.6995
top_5_ew,2022-07-15,99.1141
top_5_ew,2022-07-18,100.2283
top_5_ew,2022-07-19,101.3358
top_5_ew,2022-07-20,100.6089
top_5_ew,2022-07-21,100.5542
top_5_ew,2022-07-22,101.4447
top_5_ew,2022-07-25,99.8933
top_5_ew,2022-07-26,99.0862
top_5_ew,2022-07-27,98.9683
top_5_ew,2022-07-28,100.3487
top_5_ew,2022-07-29,101.9734
top_5_ew,2022-08-01,104.0268
top_5_ew,2022-08-02,103.2429
top_5_ew,2022-08-03,102.0188
top_5_ew,2022-08-04,103.8921
top_5_ew,2022-08-05,103.9036
top_5_ew,2022-08-08,106.9713
top_5_ew,2022-08-10,106.8785
top_5_ew,2022-08-11,109.3429
top_5_ew,2022-08-12,110.4426
top_5_ew,2022-08-16,111.9631
top_5_ew,2022-08-17,111.2398
