rec_id,asof,horizon_d,symbol,weight,mature_date,actual_ret,rank,universe_n,hit_top25,scored,source
2021-07-01_63,2021-07-01,63,ABBOTINDIA,0.1372,2021-10-01,31.64,25.0,218.0,1.0,1,historical
2021-07-01_63,2021-07-01,63,COLPAL,0.1167,2021-10-01,-1.19,168.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,BRITANNIA,0.0851,2021-10-01,9.05,110.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,BAJAJHLDNG,0.0686,2021-10-01,30.95,26.0,218.0,1.0,1,historical
2021-07-01_63,2021-07-01,63,TCS,0.0433,2021-10-01,11.63,91.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,INFY,0.042,2021-10-01,6.71,127.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,PIDILITIND,0.0413,2021-10-01,11.44,94.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,HDFCLIFE,0.0712,2021-10-01,6.37,131.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,ATUL,0.0793,2021-10-01,8.81,111.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,BATAINDIA,0.04,2021-10-01,14.89,77.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,EXIDEIND,0.041,2021-10-01,-1.68,171.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,ALKEM,0.067,2021-10-01,23.93,46.0,218.0,1.0,1,historical
2021-07-01_63,2021-07-01,63,SUPREMEIND,0.0724,2021-10-01,6.76,126.0,218.0,0.0,1,historical
2021-07-01_63,2021-07-01,63,BHARTIARTL,0.0341,2021-10-01,29.32,32.0,218.0,1.0,1,historical
2021-07-01_63,2021-07-01,63,AIAENG,0.0608,2021-10-01,-8.76,199.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,INFY,0.0649,2022-01-03,14.01,33.0,218.0,1.0,1,historical
2021-10-01_63,2021-10-01,63,BRITANNIA,0.0944,2022-01-03,-7.74,169.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,COLPAL,0.0891,2022-01-03,-13.27,201.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,TCS,0.0569,2022-01-03,2.35,91.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,HEROMOTOCO,0.0542,2022-01-03,-13.04,200.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,SJVN,0.0454,2022-01-03,8.98,57.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,RATNAMANI,0.0777,2022-01-03,-12.06,194.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,BAJAJ-AUTO,0.0616,2022-01-03,-14.94,206.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,PIDILITIND,0.0615,2022-01-03,2.35,92.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,HDFCLIFE,0.0739,2022-01-03,-10.82,183.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,TORNTPHARM,0.0854,2022-01-03,5.57,68.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,ATUL,0.0486,2022-01-03,-7.16,168.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,RELIANCE,0.0731,2022-01-03,-4.75,150.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,SBILIFE,0.0717,2022-01-03,0.03,114.0,218.0,0.0,1,historical
2021-10-01_63,2021-10-01,63,NHPC,0.0416,2022-01-03,7.22,62.0,218.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,COLPAL,0.1281,2022-04-05,8.4,63.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,PETRONET,0.0732,2022-04-05,-8.78,161.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,NESTLEIND,0.0907,2022-04-05,-8.41,155.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,HEROMOTOCO,0.049,2022-04-05,-5.83,139.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,HDFCBANK,0.088,2022-04-05,5.83,72.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,BAJAJ-AUTO,0.0434,2022-04-05,16.25,34.0,221.0,1.0,1,historical
2022-01-03_63,2022-01-03,63,HDFCLIFE,0.0491,2022-04-05,-12.43,182.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,TCS,0.0731,2022-04-05,-0.08,95.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,INFY,0.0758,2022-04-05,-1.97,106.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,ULTRACEMCO,0.0402,2022-04-05,-12.92,186.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,PIDILITIND,0.0891,2022-04-05,1.36,86.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,MGL,0.0422,2022-04-05,-5.41,136.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,LT,0.0474,2022-04-05,-4.51,129.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,AIAENG,0.0758,2022-04-05,-8.3,154.0,221.0,0.0,1,historical
2022-01-03_63,2022-01-03,63,SHREECEM,0.0348,2022-04-05,-7.67,150.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,NESTLEIND,0.0999,2022-07-06,2.03,36.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,COLPAL,0.0808,2022-07-06,-1.11,51.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,MRF,0.0691,2022-07-06,8.08,27.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,TCS,0.077,2022-07-06,-14.52,127.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,AIAENG,0.08,2022-07-06,38.1,1.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,IRFC,0.0793,2022-07-06,-9.93,99.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,ICICIGI,0.0488,2022-07-06,-8.85,91.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,DRREDDY,0.0576,2022-07-06,1.39,37.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,SUNPHARMA,0.0566,2022-07-06,-9.84,97.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,INFY,0.0642,2022-07-06,-19.85,164.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,BAJAJ-AUTO,0.048,2022-07-06,-0.96,50.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,PETRONET,0.0529,2022-07-06,10.7,21.0,221.0,1.0,1,historical
2022-04-05_63,2022-04-05,63,BHARTIARTL,0.0805,2022-07-06,-9.48,92.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,LT,0.0496,2022-07-06,-15.24,133.0,221.0,0.0,1,historical
2022-04-05_63,2022-04-05,63,COROMANDEL,0.0557,2022-07-06,18.84,8.0,221.0,1.0,1,historical
2022-07-06_63,2022-07-06,63,IRFC,0.0722,2022-10-07,7.02,134.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,COLPAL,0.0912,2022-10-07,0.77,176.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,NESTLEIND,0.0855,2022-10-07,5.07,145.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,ALKEM,0.1199,2022-10-07,3.97,155.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,SJVN,0.0444,2022-10-07,20.66,56.0,223.0,1.0,1,historical
2022-07-06_63,2022-07-06,63,RELAXO,0.0547,2022-10-07,3.16,160.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,MRF,0.0588,2022-10-07,13.03,98.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,PFC,0.0415,2022-10-07,-1.55,190.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,SUNPHARMA,0.0706,2022-10-07,14.02,94.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,TCS,0.0481,2022-10-07,-6.01,206.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,BHARTIARTL,0.0508,2022-10-07,14.29,91.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,SUPREMEIND,0.0911,2022-10-07,13.71,95.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,CUMMINSIND,0.0604,2022-10-07,12.22,103.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,POWERGRID,0.0784,2022-10-07,-0.5,182.0,223.0,0.0,1,historical
2022-07-06_63,2022-07-06,63,EXIDEIND,0.0323,2022-10-07,10.86,108.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,IRFC,0.1217,2023-01-06,53.16,4.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,NESTLEIND,0.0724,2023-01-06,2.92,93.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,PFC,0.0636,2023-01-06,49.74,5.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,ITC,0.0762,2023-01-06,0.28,112.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,RELAXO,0.0606,2023-01-06,-11.31,183.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,ALKEM,0.0911,2023-01-06,-5.28,152.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,IOC,0.058,2023-01-06,18.68,22.0,223.0,1.0,1,historical
2022-10-07_63,2022-10-07,63,SJVN,0.0742,2023-01-06,5.35,78.0,223.0,0.0,1,historical
2022-10-07_63,2022-10-07,63,RVNL,0.0513,2023-01-06,101.25,1.0,223.0,1.0,1,historical
