Rank,Symbol,Sector,Reason not selected
9,NESTLEIND,FMCG,sector cap reached
10,PATANJALI,FMCG,sector cap reached
11,SUNPHARMA,Pharma,sector cap reached
12,TORNTPHARM,Pharma,sector cap reached
13,HINDUNILVR,FMCG,sector cap reached
14,KOTAKBANK,Financials,below top-N (higher volatility)
15,NTPC,Power,below top-N (higher volatility)
16,SBILIFE,Financials,below top-N (higher volatility)
17,SHREECEM,Cement,below top-N (higher volatility)
18,POWERGRID,Power,below top-N (higher volatility)
19,BIOCON,Pharma,below top-N (higher volatility)
20,CIPLA,Pharma,below top-N (higher volatility)
21,ZYDUSLIFE,Pharma,below top-N (higher volatility)
22,RELIANCE,Energy,below top-N (higher volatility)
23,HDFCLIFE,Financials,below top-N (higher volatility)
24,PIDILITIND,Chemicals,below top-N (higher volatility)
25,TATAPOWER,Power,below top-N (higher volatility)
26,PAGEIND,Consumer,below top-N (higher volatility)
27,GRASIM,Cement,below top-N (higher volatility)
28,BAJAJFINSV,Financials,below top-N (higher volatility)
29,BAJAJ-AUTO,Auto,below top-N (higher volatility)
30,ITC,FMCG,below top-N (higher volatility)
31,ALKEM,Pharma,below top-N (higher volatility)
32,HDFCBANK,Financials,below top-N (higher volatility)
33,UBL,FMCG,below top-N (higher volatility)
34,DABUR,FMCG,below top-N (higher volatility)
35,MAXHEALTH,Healthcare,below top-N (higher volatility)
36,ACC,Cement,below top-N (higher volatility)
37,TATACONSUM,FMCG,below top-N (higher volatility)
38,SUPREMEIND,Industrials,below top-N (higher volatility)
